"","PCs","Accuracy","Sensitivity","Specificity","MRD_best_cut","P_value","adj_P_value_BH","adj_P_value_bonferroni"
"158","1, 2, 4, 5, 7, 8, 10",20,9,11,0.000959392856130843,0.000221141088014154,0.00136281525926795,0.226227333038479
"159","4, 5, 7, 10",20,9,11,0.000936689510891913,0.000221141088014154,0.00136281525926795,0.226227333038479
"160","1, 2, 3, 5, 7, 10",20,9,11,0.000858693620305981,0.000221141088014154,0.00136281525926795,0.226227333038479
"161","1, 2, 3, 4, 5, 6, 10",20,9,11,0.000844170944750706,0.000221141088014154,0.00136281525926795,0.226227333038479
"162","1, 2, 4, 5, 7, 10",20,9,11,0.000825930881523319,0.000221141088014154,0.00136281525926795,0.226227333038479
"163","2, 3, 5, 7, 10",20,9,11,0.000716204586342618,0.000221141088014154,0.00136281525926795,0.226227333038479
"164","1, 3, 6, 10",20,9,11,0.000599095087585939,0.000221141088014154,0.00136281525926795,0.226227333038479
"165","2, 4, 5, 6, 10",20,9,11,0.00059126760341803,0.000221141088014154,0.00136281525926795,0.226227333038479
"166","1, 3, 4, 6, 8, 9, 10",20,9,11,0.000472279238754016,0.000221141088014154,0.00136281525926795,0.226227333038479
"167","3, 10",20,9,11,0.000390388905604143,0.000221141088014154,0.00136281525926795,0.226227333038479
"168","1, 3, 5, 6, 10",20,9,11,0.000351829656166949,0.000221141088014154,0.00136281525926795,0.226227333038479
"169","1, 2, 3, 4, 6, 8, 9, 10",20,9,11,0.000318649058016967,0.000221141088014154,0.00136281525926795,0.226227333038479
"170","1, 2, 5, 7, 8, 10",20,9,11,0.000317732574829255,0.000221141088014154,0.00136281525926795,0.226227333038479
"171","2, 3, 4, 5, 6, 8, 9, 10",20,9,11,0.000310981724026813,0.000221141088014154,0.00136281525926795,0.226227333038479
"172","2, 3, 4, 6, 8, 9, 10",20,9,11,0.000295370170755115,0.000221141088014154,0.00136281525926795,0.226227333038479
"173","3, 5, 8, 9, 10",20,9,11,0.000294195540919983,0.000221141088014154,0.00136281525926795,0.226227333038479
"174","1, 2, 3, 4, 6, 10",20,9,11,0.00028637669817479,0.000221141088014154,0.00136281525926795,0.226227333038479
"175","1, 2, 3, 4, 5, 7, 8, 9, 10",20,9,11,0.000281610136180513,0.000221141088014154,0.00136281525926795,0.226227333038479
"176","3, 4, 5, 6, 8, 9, 10",20,9,11,0.000237991788021478,0.000221141088014154,0.00136281525926795,0.226227333038479
"177","1, 5, 9, 10",20,9,11,0.000226830780715604,0.000221141088014154,0.00136281525926795,0.226227333038479
"178","3, 4, 6, 8, 9, 10",20,9,11,0.000222054493071246,0.000221141088014154,0.00136281525926795,0.226227333038479
